day,date,month,start,end,title,pdf,ipynb,speaker,institution,youtube
Tuesday,11,February,8:30,9:30,**Regression and Probability I**,./assets/session1.pdf,,Neil Lawrence,University of Sheffield,UdOyjvB0BFI
Tuesday,11,February,9:30,10:30,**Regression and Probability II**,./assets/session1.pdf,,Neil Lawrence,University of Sheffield,Q2Nlgv5FVwA
Tuesday,11,February,10:30,11:30,**Regression and Probability III**,./assets/session1.pdf,,Neil Lawrence,University of Sheffield,mUprY5UpJ80
Tuesday,11,February,14:30,17:30,**Practical session**,./lab.html,http://nbviewer.ipython.org/github/gpschool/gprs14/blob/master/lab1.ipynb,Neil Lawrence,University of Sheffield,QE7UzVG1o-I
Wednesday,12,February,8:30,11:30,**Introduction to Gaussian Processes**,./assets/session2.pdf,,Neil Lawrence,University of Sheffield,
Wednesday,12,February,14:30,17:30,**Practical session**,lab.html,http://nbviewer.ipython.org/github/gpschool/gprs14/blob/master/lab2.ipynb,Neil Lawrence,University of Sheffield,
Thursday,13,February,08:30,09:30,**Practical session: Playing with Covariance Functions**,lab.html,http://nbviewer.ipython.org/github/gpschool/gprs14/blob/master/lab2.ipynb,Neil Lawrence,University of Sheffield,
Thursday,13,February,09:45,11:00,**Multi-output GPs**,./assets/multiOutput.pdf,,Neil Lawrence,University of Sheffield,
Thursday,13,February,11:15,12:30,"**Practical session: Multioutput GPs, Predicting Olympic Data**",./lab.html,http://nbviewer.ipython.org/github/gpschool/gprs14/blob/master/lab3.ipynb,Neil Lawrence,University of Sheffield,
Thursday,13,February,14:30,15:45,**Low Rank GPs**,./assets/lowRank.pdf,,Neil Lawrence,University of Sheffield,UbSXqocNLbg
Thursday,13,February,15:45,16:30,**Practical session**,lab.html,http://nbviewer.ipython.org/github/gpschool/gprs14/blob/master/lab3.ipynb,Neil Lawrence,University of Sheffield,
Thursday,13,February,16:30,17:30,**Non Gaussian Likelihoods**,./assets/nonGaussian.pdf,,Neil Lawrence,University of Sheffield,
Friday,14,February,8:30,9:30,**Practical session: Non Gaussian Likelihoods**,lab.html,http://nbviewer.ipython.org/github/gpschool/gprs14/blob/master/lab3.ipynb,Neil Lawrence,University of Sheffield,
Friday,14,February,9:30,10:15,**Latent Variable Models**,./assets/lvm.pdf,,Neil Lawrence,University of Sheffield,
Friday,14,February,10:30,11:30,**Latent Force Models**,./assets/lfm.pdf,,Neil Lawrence,University of Sheffield,
Friday,14,February,14:30,15:00,**Non Linear Latent Variable Models**,./assets/gp-lvm.pdf,,Neil Lawrence,University of Sheffield,
Friday,14,February,15:00,16:00,**Practical session**,lab.html,http://nbviewer.ipython.org/github/gpschool/gprs14/blob/master/lab4.ipynb,Neil Lawrence,University of Sheffield,
Friday,14,February,16:00,17:30,**Deep Gaussian Processes**,./assets/deep.pdf,,Neil Lawrence,University of Sheffield,


